strategy,primary_or_required_comparator,threshold,alerts,alerts_per_1000,true_positives_per_1000,false_positives_per_1000,sensitivity,positive_predictive_value,false_positives_per_true_positive,treat_all_net_benefit,absolute_net_benefit,incremental_net_benefit_vs_better_default
observed-outcome source model + unupdated source-only comparator,False,0.05,1520.0,587.5531503672207,76.45510425534219,511.09804611187843,0.7914329437663864,0.13012457546616468,6.684943419930869,0.04905619857663893,0.049555207091559125,0.000499008514920192
observed-outcome source model + unupdated source-only comparator,False,0.1,428.0,165.44259760340162,35.47723694339748,129.96536066000414,0.36724629891337524,0.21443834573030207,3.6633450588995613,-0.003774012613547789,0.02103664131450813,0.02103664131450813
observed-outcome source model + unupdated source-only comparator,False,0.2,150.0,57.98221878623889,21.369224609268585,36.61299417697031,0.22120574555801248,0.3685478937611855,1.7133515532936074,-0.12924576419024125,0.012215976065026005,0.012215976065026005
observed-outcome source model + complete-case recalibration,False,0.05,2301.0,889.4472361809045,93.12714352065787,796.3200926602467,0.9640152879126975,0.10470226870401647,8.550891421721783,0.04905619857663893,0.05121555969643434,0.0021593611197954082
observed-outcome source model + complete-case recalibration,False,0.1,825.0,318.90220332431386,56.824294424846414,262.07790889946745,0.5882225791479665,0.17818721172979113,4.61207502094164,-0.003774012613547789,0.027704526769350025,0.027704526769350025
observed-outcome source model + complete-case recalibration,False,0.2,192.0,74.21724004638577,25.11882730579148,49.0984127405943,0.26002014688499964,0.33845003250043,1.9546458973932277,-0.12924576419024125,0.012844224120642905,0.012844224120642905
observed-outcome source model + 1/99 truncated-IPW recalibration,False,0.05,2128.0,822.574410514109,90.17073362395378,732.4036768901552,0.9334117041452331,0.10962015408137614,8.122410093108002,0.04905619857663893,0.05162317168236666,0.0025669731057277254
observed-outcome source model + 1/99 truncated-IPW recalibration,False,0.1,729.0,281.793583301121,50.83940284847299,230.95418045264796,0.5262693530743666,0.18041362848971143,4.542818513053894,-0.003774012613547789,0.025177827242623217,0.025177827242623217
observed-outcome source model + 1/99 truncated-IPW recalibration,False,0.2,187.0,72.28449942017781,25.1411489677984,47.14335045237941,0.260251211885093,0.3478083014956923,1.8751470154670395,-0.12924576419024125,0.013355311354703544,0.013355311354703544
1/99 truncated-IPW source model + unupdated source-only comparator,True,0.05,1353.0,522.9996134518748,72.0955119857644,450.9041014661103,0.7463041720886989,0.13785002919968406,6.2542603422407685,0.04905619857663893,0.04836371717175861,-0.0006924814048803254
1/99 truncated-IPW source model + unupdated source-only comparator,True,0.1,427.0,165.05604947816002,36.68462577099801,128.37142370716202,0.3797447096265064,0.22225556643927832,3.499324880905543,-0.003774012613547789,0.022421134247980003,0.022421134247980003
1/99 truncated-IPW source model + unupdated source-only comparator,True,0.2,150.0,57.98221878623889,20.87584911962611,37.10636966661278,0.2160985179902384,0.36003881114981834,1.7774783413110509,-0.12924576419024125,0.011599256702972915,0.011599256702972915
1/99 truncated-IPW source model + complete-case recalibration,False,0.05,2254.0,871.2794742945497,92.34662517327473,778.932849121275,0.9559356712625123,0.10598967139452606,8.434881595940546,0.04905619857663893,0.05135015943004973,0.002293960853410798
1/99 truncated-IPW source model + complete-case recalibration,False,0.1,848.0,327.79281020487053,57.5680099405588,270.22480026431174,0.5959212274678903,0.17562316240120945,4.694009755475815,-0.003774012613547789,0.027543032133413053,0.027543032133413053
1/99 truncated-IPW source model + complete-case recalibration,False,0.2,200.0,77.30962504831851,25.154207697277357,52.155417351041166,0.260386390678112,0.3253696765642826,2.0734271569478357,-0.12924576419024125,0.012115353359517066,0.012115353359517066
1/99 truncated-IPW source model + 1/99 truncated-IPW recalibration,True,0.05,2087.0,806.7259373792037,88.70212964003571,718.0238077391681,0.9182092976409203,0.10995323880152007,8.094775296297824,0.04905619857663893,0.0509114029169216,0.0018552043402826693
1/99 truncated-IPW source model + 1/99 truncated-IPW recalibration,True,0.1,768.0,296.8689601855431,54.55870742082329,242.31025276471982,0.5647701202256101,0.1837804376271743,4.441275540047671,-0.003774012613547789,0.027635346002521086,0.027635346002521086
1/99 truncated-IPW source model + 1/99 truncated-IPW recalibration,True,0.2,191.0,73.83069192114418,24.777499757294358,49.05319216384983,0.2564868593546676,0.33559891032523825,1.9797474581513754,-0.12924576419024125,0.0125142017163319,0.0125142017163319
