level_index,released_value_mg_dl,conservative_lower_mg_dl,conservative_upper_mg_dl,laboratory_rows
1,0.41,0.05,0.47,26404
2,0.47,0.41,0.53,56022
3,0.53,0.47,0.58,50434
4,0.58,0.53,0.61,52956
5,0.61,0.58,0.65,45230
6,0.65,0.61,0.68,48809
7,0.68,0.65,0.71,50340
8,0.71,0.68,0.74,49991
9,0.74,0.71,0.77,47861
10,0.77,0.74,0.8,45910
11,0.8,0.77,0.84,57578
12,0.84,0.8,0.88,52113
13,0.88,0.84,0.92,45065
14,0.92,0.88,0.98,49450
15,0.98,0.92,1.05,48327
16,1.05,0.98,1.15,52031
17,1.15,1.05,1.33,47237
18,1.33,1.15,1.68,49474
19,1.68,1.33,3.03,49865
20,3.03,1.68,5.54,50008
21,5.54,3.03,30.0,26268
